CARID,CUSTID,MODEL,DESCR,VIN,LICPLATE
62000328,10000004,VW,VW Golf 4,76652H6A6N850M661,2703-YV-7
62000329,10000001,Tesla,Tesla Model S,1O9FXG8O8QZTWX898,1199-JD-3
62000330,10000004,Tesla,Tesla Model S,06403G510956329N4,4264-NG-7
62000331,10000001,VW,VW Golf 5,11IA2EU1Z94YYS462,5912-YK-7
62000332,10000002,Opel,Opel Corsa,A322ONQ7L0V285O0B,3023-CA-7
62000333,10000002,BMW,BMW X6,Y2LY15RCC69HMLYFA,0909-VM-7
62000334,10000002,Opel,Opel Astra H,I9S686OTM74M16EL2,4525-ST-7
62000335,10000004,Audi,Audi A6,72J9UI5H8392PV587,0769-TN-7
62000336,10000000,VW,VW Golf 5,476CY2SODIXH157X7,1895-ZT-4
62000337,10000002,BMW,BMW M3,P45062L1PK7847RS3,0840-BX-7
62000338,10000004,BMW,BMW X6,Y7N2Q8ZAQYM28W9K4,2897-RI-7
62000339,10000001,VW,VW Jetta,KC0M027VQM2OTKOW8,1636-EA-4
62000340,10000000,Tesla,Tesla Model S,CK2248U90G365G41Z,7216-IE-6
62000341,10000000,Opel,Opel Corsa,SKVPVRS916L58S80J,8904-DT-7
62000342,10000000,BMW,BMW M3,5FVNXC355Z2H60EUA,9126-OE-6
62000343,10000003,Audi,Audi A4,C90LNG0Q2RJR0J8SF,7380-JQ-7
62000344,10000000,VW,VW Golf 4,N3G02W3PZWUQQ71GW,8011-BR-7
62000345,10000003,Toyota,Toyota Camry,IB282XML62I5HY6WS,2380-RL-5
62000346,10000000,Opel,Opel Insignia,4N44Q35CT8TTX52WO,7305-EX-6
62000347,10000003,BMW,BMW X6,3H3VMEE175FLEVL3N,7036-DC-4
62000348,10000001,Tesla,Tesla Model S,D1ST244E16A8RD9Y5,1105-OX-2
62000349,10000002,Audi,Audi A4,S4YM1W9JD77YL88CE,1247-EW-3
62000350,10000001,VW,VW Golf 5,36VV654G7IH06TR31,2583-YF-7
62000351,10000001,BMW,BMW M4,T8W6365EMJHSN2Q80,8320-BH-6
62000352,10000000,BMW,BMW M4,045B14KINZHNQ04ED,3360-ZA-6
62000353,10000003,BMW,BMW M4,82RU92YD04YZ2E330,8722-MY-7
62000354,10000003,Opel,Opel Insignia,79HNNDU3QH95492H4,2320-UB-6
62000355,10000000,BMW,BMW M4,04X8VOHJ69WCZMYDU,4729-XF-3
62000356,10000003,Opel,Opel Corsa,Y864RP558D9NY8WTB,0576-IB-6
62000357,10000001,BMW,BMW M4,QR460AFC4354X9111,0222-PE-7
62000358,10000002,Toyota,Toyota Camry,V19155X1P4C92YB82,6945-MZ-6
62000359,10000003,BMW,BMW X6,P9DH3445T9L30K093,8494-YV-6
62000360,10000001,VW,VW Golf 4,W5SR801X25UID9MRK,5735-SB-7
62000361,10000000,VW,VW Golf 4,7X00ULQ853AR9T9WT,3161-CI-6
62000362,10000002,Audi,Audi A6,83D4G06S10Q87RFBK,1002-BF-6
62000363,10000001,Opel,Opel Astra H,7ZO6RW6T92AU4865K,0276-NX-6
62000364,10000001,VW,VW Golf 4,KUD2N3QB0B96OV4AR,9172-JI-6
62000365,10000000,Audi,Audi A6,QXR3J236V1FERUT50,3840-QS-5
62000366,10000001,Opel,Opel Corsa,7LW28A5TVL74M0HIA,9640-MD-7
62000367,10000000,Audi,Audi A7,69KI80HBJH3433UHQ,7138-VO-7
62000368,10000002,Audi,Audi A4,C9U2XFEK43D28Q5X1,2075-NG-6
62000369,10000004,Opel,Opel Astra H,256P33243005U8DSB,9379-GS-2
62000370,10000000,VW,VW Golf 5,LXF2C5WM5W1SOVMXZ,9140-KQ-6
62000371,10000001,Audi,Audi A6,T1K73RYKM27KSA19E,9383-MY-5
62000372,10000003,Audi,Audi A7,IK242ILAI9A2PHVBX,9085-XT-3
62000373,10000002,Opel,Opel Insignia,0F6545ZMHL0049128,6214-FI-3
62000374,10000000,BMW,BMW M3,DBPK25XEVBXML047Z,5715-NQ-4
62000375,10000003,BMW,BMW X6,J287YFUTQ400875K3,6011-XF-7
62000376,10000001,Audi,Audi A6,E3175SLZPTDKF7E12,2013-ZS-5
62000377,10000000,BMW,BMW X6,5LI3Y2XEGWA433G5T,3573-AH-7
62000378,10000004,BMW,BMW M3,A0LI73MA5O5LQ19KX,0286-PA-7
62000379,10000002,Tesla,Tesla Model S,0UV4XZ5S392SIV0VS,8369-NJ-5
62000380,10000003,Toyota,Toyota RAV4,BT4EO97F5IH07ENNN,0110-LX-5
62000381,10000003,BMW,BMW M4,06IEVL35EU46X40YI,7514-HN-7
62000382,10000004,Tesla,Tesla Model S,G4V38MNPF65O44MZP,1120-HJ-7
62000383,10000003,BMW,BMW M4,V87S8T13D1C8Y2F07,9890-PY-5
62000384,10000004,VW,VW Golf 4,7O54G0L7HWS7OZJE6,8665-GD-5
62000385,10000002,VW,VW Golf 4,GBP8FGE7YA4E2SJRY,2012-FG-6
62000386,10000004,Opel,Opel Corsa,3O6X8RP9B1QVW8XHI,8324-QU-6
62000387,10000004,BMW,BMW M3,1C051RKDT3N7HPLNG,3284-JX-3
62000388,10000002,VW,VW Golf 4,1JR21658LTCPA21U6,1358-QT-7
62000389,10000003,VW,VW Jetta,837AZ7Z8HDR58ZO29,6311-LD-7
62000390,10000001,Opel,Opel Corsa,0O7K5VCZ06Q0G28Y9,0603-ZG-6
62000391,10000000,VW,VW Golf 5,76O55GW7C3CIKPA8D,9913-TN-6
62000392,10000002,Tesla,Tesla Model S,U0Z8V5H4X43M8YVX1,3715-RB-7
62000393,10000002,VW,VW Golf 5,6GOGC1409F1HIOGWN,5736-RH-6
62000394,10000003,BMW,BMW M3,889RLDL9N4O9P8MZQ,7793-TQ-7
62000395,10000003,Audi,Audi A7,7108K71SP3QG5KRDB,3926-YS-2
62000396,10000000,Audi,Audi A4,JYITQR4NP5P9ILTYH,7179-GX-7
62000397,10000004,BMW,BMW X6,2740029J3237729HN,5229-IB-1
62000398,10000001,Toyota,Toyota Camry,O7U67X3UE27N99993,7514-FR-7
62000399,10000000,BMW,BMW M3,82BTJ76KV14IQ31A0,9552-OF-7
62000400,10000002,VW,VW Golf 5,P6G4223Z5135EONQO,2635-RO-7
62000401,10000003,BMW,BMW X6,9Y3PWT419H6EYD39N,5187-GD-6
62000402,10000002,Audi,Audi A7,F6QTV57ZG07141T99,8484-PK-7
62000403,10000002,BMW,BMW X6,9CDV396U9X333E6K8,0042-BA-6
62000404,10000003,VW,VW Golf 5,Q4561G0NMWW6WN01S,3265-LO-3
62000405,10000000,Opel,Opel Astra H,B6B20O36C93D6S9OP,4646-XC-7
62000406,10000000,VW,VW Golf 5,LI3C6B9OE2H090MKZ,2721-TE-7
62000407,10000004,Toyota,Toyota RAV4,E74J4U8Y17CV9L5PF,7053-WN-7
62000408,10000001,Tesla,Tesla Model S,197144QBKFY9957DG,7871-IC-7
62000409,10000004,VW,VW Jetta,VD5Q4OJLK15Q2052K,1404-KP-7
62000410,10000004,Tesla,Tesla Model S,I3449OEA95Q02E37E,2295-NQ-4
62000411,10000001,Opel,Opel Astra H,8N4E80IVYW0334A34,6468-ZW-7
62000412,10000003,Toyota,Toyota RAV4,L78528M8Q43V51XWZ,1810-SV-7
62000413,10000002,BMW,BMW M3,SL27PUJF1685W955E,6807-QT-7
62000414,10000004,BMW,BMW M3,0B037S0KVW7AY8054,0888-HP-6
62000415,10000000,Tesla,Tesla Model S,2C2772TE7PXO8S0JT,3468-AO-7
62000416,10000003,Audi,Audi A7,6917WN1YEL8DBQV72,4842-DM-7
62000417,10000004,BMW,BMW M3,R6EPB638VR78HW68B,4074-ML-7
62000418,10000001,Opel,Opel Insignia,62M90F11LR6D820NC,5414-EF-7
62000419,10000004,Opel,Opel Insignia,76T93CH8O822G4I9C,9196-LU-7
62000420,10000000,Tesla,Tesla Model S,W223B0LEU56V2ZF14,4916-MB-6
62000421,10000003,Audi,Audi A4,Q6F91EE9F6A0YHG4X,8921-DE-6
62000422,10000003,Opel,Opel Corsa,6Q96GRT4DJH916H5A,4658-YR-6
62000423,10000000,BMW,BMW M3,TJBXOE5H3MKCQ49W7,4173-JL-7
62000424,10000000,Opel,Opel Insignia,R9JA0PC3VXYQT90IG,8981-MY-7
62000425,10000000,BMW,BMW M3,G4BC60M781RE07FI2,9216-HQ-7
62000426,10000000,Opel,Opel Astra H,TW5GIT0RV8O22JAQ9,1589-HY-7
62000427,10000000,VW,VW Golf 5,XP7MZRLO3UR2P4VPC,3721-WP-7
62000428,10000003,BMW,BMW M3,OW246493QOPXY6C20,9225-GH-4
62000429,10000003,Audi,Audi A4,8F8BXM77B437W38OR,9276-RV-4
62000430,10000002,BMW,BMW M3,G4Y48OF5NOV946227,2274-KB-7
62000431,10000003,Toyota,Toyota RAV4,QAHV2HCT6D5DO1R58,3583-BJ-6
62000432,10000003,VW,VW Golf 4,3V5KL97TI64I7PZ86,2566-CH-1
62000433,10000001,BMW,BMW X6,S9P15C7RV1ER4L1R2,7832-RJ-7
62000434,10000002,VW,VW Golf 4,1X6C73C6E4F05PI69,9062-LG-7
62000435,10000001,BMW,BMW M4,8T35421FUNO128V50,7561-SI-3
62000436,10000004,Audi,Audi A6,G61UPR15710ZWIJ3T,8728-WA-6
62000437,10000002,Audi,Audi A7,V649G8500RFFI3L96,0247-FX-7
62000438,10000002,BMW,BMW X6,7WJ4LJ49640EOUY28,8916-TD-7
62000439,10000001,Toyota,Toyota RAV4,B3V1883ANM78364IU,3720-YL-7
62000440,10000000,BMW,BMW M4,1XS0M46Z7Q2X10A24,8142-WD-6
62000441,10000001,Toyota,Toyota Camry,HJ3H5M93UF1CCGM19,0289-DT-5
62000442,10000000,Toyota,Toyota Camry,N16602I70AQ497WU1,5052-WS-3
62000443,10000002,VW,VW Golf 4,ISFV6350G7MZVXMRP,6418-WE-5
62000444,10000001,VW,VW Jetta,604W5IN7MGXZGT6C0,9157-AY-6
62000445,10000003,Audi,Audi A4,IGZPZ62V439PDM429,6054-NC-6
62000446,10000000,BMW,BMW X6,5OG8JZ1H5XZZLXB6A,2888-WP-4
62000447,10000003,Opel,Opel Astra H,ZH422YFQI123QSX3U,0617-LY-6
62000448,10000002,Toyota,Toyota RAV4,29B2NAM18038S0140,3262-HX-7
62000449,10000004,VW,VW Golf 4,2PP27Y7SP5LJ7068F,3393-UQ-7
62000450,10000003,BMW,BMW M4,6833ZQFJ9397L569Q,0473-WE-6
62000451,10000002,BMW,BMW M4,RFB09956FZ00F76H4,1405-GT-7
62000452,10000003,VW,VW Jetta,582D6H7MZ26TNG1PY,5413-HI-6
62000453,10000000,Audi,Audi A7,QH81D2CI35ZSW88HC,2997-HX-7
62000454,10000004,Opel,Opel Astra H,12F3B79Q909WP58R1,5360-AH-6
62000455,10000002,VW,VW Jetta,JG3925LR796H8G594,5490-XK-7
62000456,10000004,Tesla,Tesla Model S,R528O9WE075XVJAML,2797-ZR-5
62000457,10000000,BMW,BMW M4,S648MM5G5IH7GRNO8,8704-GO-7
62000458,10000001,Opel,Opel Astra H,63155G86N7ML80Y4W,7164-VS-7
62000459,10000002,VW,VW Golf 4,O94S9DXCUDR7FOKMQ,0229-PS-7
62000460,10000004,Opel,Opel Corsa,375W76CUUW27L2WVE,2128-AC-6
62000461,10000000,Toyota,Toyota RAV4,R5QCFQFCKLJ5K34YU,7919-YF-5
62000462,10000002,Tesla,Tesla Model S,884GS32YBIMGK5N05,4233-DZ-6
62000463,10000003,VW,VW Golf 4,03QW6FX11Z8ML297K,8608-TY-3
62000464,10000004,Opel,Opel Insignia,AK7988HMJW376FFNZ,2083-NQ-6
62000465,10000002,VW,VW Jetta,95376H33WK76U420S,1461-NI-6
62000466,10000000,Opel,Opel Insignia,05F5KGKD179GE76R4,8132-AW-7
62000467,10000002,Audi,Audi A6,P1Z6BS4KAFQR8TF6E,7651-IM-7
62000468,10000004,Toyota,Toyota RAV4,440SRSJ29MQJ3S2X4,3097-EN-7
62000469,10000004,VW,VW Jetta,7T007Y2C302X12662,9893-EH-7
62000470,10000000,Opel,Opel Insignia,TM765AXY93J11WI7W,7349-AI-7
62000471,10000004,VW,VW Golf 4,6V3340EC0N6Q2S280,1506-HI-6
62000472,10000004,Opel,Opel Insignia,71WOD310S72OU9B07,0286-TH-4
62000473,10000000,BMW,BMW M4,0F74PCQRH270O1DQ5,6197-QE-6
62000474,10000003,Opel,Opel Insignia,J32BHT3V5N7V24K2V,1941-YF-4
62000475,10000003,BMW,BMW M3,AI950UX5N92B36N82,4960-OA-7
62000476,10000002,Opel,Opel Insignia,NDWQ18E3L7L16G7H0,2775-JF-6
62000477,10000002,VW,VW Golf 5,657J5SP3C1W4Y00HE,2343-GD-7
62000478,10000002,BMW,BMW M3,G19B4RG89T33W88O7,8366-KA-7
62000479,10000001,Audi,Audi A4,7DM7O1VP8F4875624,9205-XV-7
62000480,10000003,VW,VW Golf 5,1819LR0B827N0FCH4,2491-IN-4
62000481,10000000,BMW,BMW M3,Z9Q517113IBT4584R,9686-JZ-7
62000482,10000001,Toyota,Toyota Camry,8UJY83GH7RV069H12,7837-CN-6
62000483,10000000,Toyota,Toyota Camry,K2FE6699G7P54U6K1,5907-ZW-7
62000484,10000003,Opel,Opel Insignia,OFGL927ISS341XP8N,1074-UC-6
62000485,10000002,Opel,Opel Corsa,V934KGV0F3YB42S2X,9050-HE-7
62000486,10000003,Opel,Opel Corsa,U99K89O9Y98KAZ1V5,2566-RA-5
62000487,10000004,Opel,Opel Corsa,SHA0071IK5H2WF843,4097-WY-7
62000488,10000003,Toyota,Toyota Camry,0K26141E93WM8V2ZM,9673-RH-6
62000489,10000002,BMW,BMW M4,5FHNJ6O600W3BNW8O,8791-BM-7
62000490,10000003,VW,VW Jetta,7CZ6N8D11TVCWK2N6,1028-KL-6
62000491,10000000,Tesla,Tesla Model S,57WX2IQZA5I0R492M,3503-AE-1
62000492,10000003,Toyota,Toyota Camry,2UJ8YZ7ZN43Z0IHBW,5734-NS-6
62000493,10000001,BMW,BMW M4,CU50OZL6R889OY79G,5826-RP-7
62000494,10000003,VW,VW Jetta,64TH67O2W2ZKG50T3,0539-MX-7
62000495,10000004,Toyota,Toyota RAV4,981J8LX24N15XGPI9,0128-MV-6
62000496,10000002,Toyota,Toyota Camry,7Z35UHIU690C95347,0369-MC-7
62000497,10000001,Toyota,Toyota RAV4,17YDP61A3A3084T93,3563-SM-7
62000498,10000004,Tesla,Tesla Model S,X03H29W9Y4951T7F0,2804-ZT-7
62000499,10000003,BMW,BMW M4,YI712181G423GEA6G,9236-GL-6
62000500,10000000,BMW,BMW M4,9IFVT5S1A5H1XNPKF,5888-YJ-7
62000501,10000000,Opel,Opel Corsa,C416H7F4B75T01524,9408-BZ-3
62000502,10000004,Opel,Opel Insignia,LQPQ1F3PKA44Q2UV0,8918-XL-7
62000503,10000001,Toyota,Toyota Camry,8TZ445FB89456LQ2S,1448-WT-7
62000504,10000002,Audi,Audi A6,BIFLZT51FAS37Y9SV,8835-IJ-7
62000505,10000000,Audi,Audi A6,7X6R825L06ND1FT0B,0728-GV-7
62000506,10000003,Toyota,Toyota Camry,ZL23FC0H2176768ZF,5313-KE-7
62000507,10000001,BMW,BMW M4,3K6QY2W23Y76H2A1B,7040-CL-5
62000508,10000004,BMW,BMW X6,9L6CUJ62M46FI64Z7,2416-AY-7
62000509,10000003,Opel,Opel Corsa,3Q7QD2AVUHE261855,7305-PC-6
62000510,10000000,BMW,BMW X6,FQLS5E66E31NV7K15,3396-ER-7
62000511,10000002,Toyota,Toyota Camry,7X1081HJ22G4854MB,3560-ZW-7
62000512,10000002,Toyota,Toyota Camry,FBFYV4PCWD3EN91UC,8952-YS-6
62000513,10000000,BMW,BMW M3,61575WSPM4ZOQ6414,7188-ZL-7
62000514,10000003,Audi,Audi A4,98S3MZ0U46R25SHQ7,9191-YO-6
62000515,10000001,Toyota,Toyota RAV4,3HBB1OHOE83FK0P2M,0024-WP-6
62000516,10000003,BMW,BMW X6,667T6WFW4N4F7RSM2,7071-LR-7
62000517,10000001,BMW,BMW X6,Y1IWGZ2LDY9II31BS,2037-ZE-7
62000518,10000000,Opel,Opel Astra H,G98FMF5R90H68H3I8,3578-GY-2
62000519,10000003,Toyota,Toyota Camry,C0W58M2A1S59996Z3,6471-NP-6
62000520,10000002,BMW,BMW M3,W96P78L4ZG3730IQQ,7615-OZ-6
62000521,10000002,VW,VW Jetta,R9897XTYNUUIR4B1N,2234-KI-7
62000522,10000002,Audi,Audi A4,MZ81KTVE7HQV8TDIE,0832-RI-7
62000523,10000001,VW,VW Golf 5,ACQ91723MZY8GN3N6,3760-HK-7
62000524,10000002,Opel,Opel Astra H,72C7909R9V1BN29AC,5201-CF-2
62000525,10000001,Opel,Opel Insignia,0GE6MR27408DRR353,5189-XG-7
62000526,10000004,VW,VW Jetta,HJ5F479MLCN9B4X2G,8972-QM-6
62000527,10000002,VW,VW Jetta,MY6UOSEB250O1G1C5,2877-MG-7
62000528,10000004,Audi,Audi A6,I0B1HAH0S1H819TV6,0213-HS-6
62000529,10000001,Opel,Opel Corsa,TOBSCR2V9Z0612X98,5189-XI-7
62000530,10000000,BMW,BMW X6,D3TOKWEOD78B52UHW,2488-AG-6
62000531,10000002,Tesla,Tesla Model S,RV40QSPG9P4S852WN,3337-MI-7
62000532,10000003,Tesla,Tesla Model S,797B04A3EGFW9LZ4J,8368-WA-7
62000533,10000003,Opel,Opel Insignia,20709197J22X58520,6981-KF-5
62000534,10000003,Toyota,Toyota Camry,6T5XJ157U0BF627V9,9874-LA-7
62000535,10000001,Opel,Opel Astra H,54CU59ZW07J225A8F,3413-NR-7
62000536,10000002,Tesla,Tesla Model S,VB9F50K97Q15T98V8,5232-HV-7
62000537,10000004,BMW,BMW M3,V55LD040KS161CH16,2033-YA-6
62000538,10000000,Audi,Audi A7,S0F09918NY2U45Z1O,4657-ZB-7
62000539,10000003,Toyota,Toyota RAV4,CZ457Q94TEN7C1DD6,3433-ZQ-7
62000540,10000003,Tesla,Tesla Model S,O9D4FFJQTU24OFT4N,1902-ZR-7
62000541,10000002,Opel,Opel Insignia,T1Z5JE0924R99409I,8327-ZT-6
62000542,10000001,Opel,Opel Corsa,S7S25D8F04B43D247,4655-TQ-7
62000543,10000000,Audi,Audi A6,PO6D45CQ5ZB000134,7894-IT-7
62000544,10000002,BMW,BMW X6,W7S399V2IRH52XM97,5618-ZX-7
62000545,10000000,Opel,Opel Insignia,LOE81OC41VZN6U261,7292-EA-6
62000546,10000003,BMW,BMW M4,2N4JN2N6DKEKP35N4,3580-LY-5
62000547,10000004,Toyota,Toyota RAV4,NLER88HHVFP040Q1K,7747-AB-3
62000548,10000003,Toyota,Toyota RAV4,2E463P4R87SOVC3MT,0204-VB-7
62000549,10000001,Audi,Audi A4,68Y59LEQVLV2LB2N4,2758-HN-5
62000550,10000003,Audi,Audi A6,DU29530J73P67I02O,7396-ZB-7
62000551,10000003,Opel,Opel Corsa,DSQL880PZ1QDFL6Y4,7954-SI-7
62000552,10000000,Tesla,Tesla Model S,49T798U7Y08A7N21R,6049-GF-7
62000553,10000004,Tesla,Tesla Model S,3EOVT8RIL143W605X,6477-PI-7
62000554,10000001,Audi,Audi A4,051IA000RC9U82D93,7721-AL-7
62000555,10000001,VW,VW Golf 4,Z0M6P39D87XJDN7I6,0554-UH-6
62000556,10000001,Opel,Opel Astra H,J7566A89ZKGG8PMF2,0538-QR-6
62000557,10000001,Audi,Audi A7,Z7RQHRX4D9498W772,2991-LD-7
62000558,10000003,VW,VW Golf 5,O4VIU59BI23663G3C,4180-AO-6
62000559,10000002,BMW,BMW M4,104WIK8TB8I339JCJ,5618-LS-6
62000560,10000002,BMW,BMW M3,34PJA92PQQ9SYZ821,2195-JO-7
62000561,10000002,Tesla,Tesla Model S,AISNJ74089SREO202,4175-RZ-7
62000562,10000002,BMW,BMW M3,K696Y79ZSJW6XQ07Y,0729-RA-7
62000563,10000004,Opel,Opel Astra H,6VZB6265WB6Z0OZ33,7081-SF-2
62000564,10000002,VW,VW Jetta,5G2028OFK25X35XPU,3896-KU-7
62000565,10000001,Opel,Opel Astra H,YTDEP56H3JS55AO97,6598-MP-5
62000566,10000001,Opel,Opel Astra H,I78V55O9CW423T3Q1,5319-AQ-5
62000567,10000002,BMW,BMW M4,Z53VR92YV6V7VLF07,4868-QA-7
62000568,10000000,BMW,BMW X6,YQEPAJH6M21FESFE3,6981-YK-5
62000569,10000003,VW,VW Golf 5,7C5Y4G5CM724G31C4,6221-AM-6
62000570,10000001,Audi,Audi A6,753SSYQB25LA2F02H,8807-QE-5
62000571,10000003,Opel,Opel Astra H,759BKT9JK1890K450,0761-PW-5
62000572,10000002,Toyota,Toyota Camry,5TMO84C8GVU67M6YF,4943-IB-7
62000573,10000004,Toyota,Toyota Camry,7453Y8R017F0M69CK,7606-RD-7
62000574,10000003,Toyota,Toyota Camry,951S3E9HC4Q3206X1,3242-AN-7
62000575,10000003,Toyota,Toyota RAV4,5QG003I5TDO98775U,8511-GT-7
62000576,10000002,Audi,Audi A4,5M05V5N9836SZ1KQT,5211-QL-5
62000577,10000002,Opel,Opel Insignia,LS6VGM6V15P538SLR,6446-WI-7
62000578,10000004,BMW,BMW M3,07J41RN1VK5Y38KN7,2580-ML-7
62000579,10000003,Toyota,Toyota Camry,464GZEJW3KH6MAZH4,6363-VP-7
62000580,10000000,BMW,BMW X6,V3Y8F2SUI3SYTT410,9245-QL-7
62000581,10000003,Toyota,Toyota Camry,Z77J0FK6QI75GYB64,8140-SZ-6
62000582,10000004,Tesla,Tesla Model S,CLK7B9SWM8K454R7V,0463-HU-6
62000583,10000004,BMW,BMW X6,0F5JXLT4S116OF1S8,1445-PQ-5
62000584,10000000,Audi,Audi A7,J9Q8VNM07263NULS2,5361-BA-6
62000585,10000004,Audi,Audi A7,ZDB7851WZ3ATY9EVD,4851-DQ-7
62000586,10000003,BMW,BMW M4,2UWS1VGR8FTDJEAI7,9566-TS-7
62000587,10000004,BMW,BMW M4,3J030B40W877U59NM,6644-GB-6
62000588,10000004,VW,VW Jetta,CO480P47Q1G4RC369,0650-DR-7
62000589,10000000,VW,VW Golf 4,C3MU52T21M14A7W71,5522-KW-7
62000590,10000002,Audi,Audi A6,A792270BM14R1XCYE,4323-BR-6
62000591,10000000,VW,VW Golf 5,2075881V147289D11,4194-PZ-7
62000592,10000002,Opel,Opel Astra H,BQ47WQAF82K8L3Y3T,2318-HY-7
62000593,10000001,VW,VW Golf 4,08HYA580I2KA8HO4Q,6877-HC-7
62000594,10000004,Opel,Opel Astra H,77DJFP539F1B88G7L,8557-JP-7
62000595,10000002,VW,VW Golf 5,461RA84F9JPV57HZH,7338-BL-6
62000596,10000002,Opel,Opel Astra H,W221F6G15ZV9CW7EA,4277-NC-2
62000597,10000004,Toyota,Toyota Camry,QRK7K6YHF2876N92H,8734-VC-6
62000598,10000004,VW,VW Golf 4,QO44FHWE1858405A0,3881-XU-6
62000599,10000000,Toyota,Toyota RAV4,Q1WHMB5Y84G9NIKYB,3857-CE-6
62000600,10000004,Toyota,Toyota RAV4,LK8WL4HQ9Z5P9484R,2114-MP-5
62000601,10000001,Tesla,Tesla Model S,3Q4UFFT0BXASAH576,2737-QD-7
62000602,10000002,BMW,BMW M4,SUAL6WDA3L983NE95,9947-QL-7
62000603,10000003,VW,VW Golf 5,64VU8JT75R533YP20,2640-WN-6
62000604,10000002,BMW,BMW M4,MN28L79NA7E1O5C37,7524-OF-7
62000605,10000001,Toyota,Toyota RAV4,8NUYTUGQ166N54GRV,2582-CE-6
62000606,10000001,VW,VW Jetta,0IKN84G009UZ3LVTA,6479-PB-7
62000607,10000002,VW,VW Golf 4,5N0N7F0Q1911PIAZB,1805-MA-4
62000608,10000002,BMW,BMW M3,877IP3I851P4322KI,7784-QI-7
62000609,10000000,VW,VW Golf 4,61Q6YVUNTAET40570,8264-EQ-6
62000610,10000001,Toyota,Toyota RAV4,G2M8536C4QQ0PL3DR,7893-VT-7
62000611,10000004,BMW,BMW M4,55J90K81JW51XT80L,7373-CF-7
62000612,10000002,Audi,Audi A4,M1R9981OQTYHM9799,9916-UB-6
62000613,10000002,Toyota,Toyota RAV4,7V9GL7891C93TEBVQ,1000-EG-5
62000614,10000001,Opel,Opel Insignia,23TB55MUZZLKQ5IMB,8314-JX-7
62000615,10000004,Toyota,Toyota RAV4,RX4EK58PF75865310,6937-OZ-7
62000616,10000003,VW,VW Golf 5,2D33S12R3LV59ZKIG,9451-KV-5
62000617,10000001,BMW,BMW X6,3I9ZA1M4YI7X03411,7298-CT-7
62000618,10000000,VW,VW Golf 4,4HQQDA3C7VSH1Y27Q,2491-CT-7
62000619,10000001,Opel,Opel Insignia,7SV72P4ZE9G868F8X,9487-QZ-7
62000620,10000002,VW,VW Jetta,LY7C1RE38375H9EE9,6290-FQ-6
62000621,10000003,Audi,Audi A6,5T3365952040T87E0,4232-PX-7
62000622,10000003,VW,VW Jetta,D86SQ7PJ5BXK7406N,8182-DW-7
62000623,10000001,Opel,Opel Insignia,PELL79M3JKW620I00,4052-ID-7
62000624,10000002,BMW,BMW M4,02420405A7P6Z2944,6173-MT-7
62000625,10000004,VW,VW Golf 4,7RGW7B5CT98LCE4FG,7625-ML-6
62000626,10000003,BMW,BMW M4,77CW82F01X67H92A0,2217-OF-7
62000627,10000003,Opel,Opel Astra H,8X4P7Z112IW3VK3BZ,6892-WJ-7
62000628,10000002,VW,VW Golf 4,2Q1QL3PU9FJ845S2Y,5394-CF-5
62000629,10000002,VW,VW Jetta,8PM7FZHB507RH8E1J,5821-UB-7
62000630,10000002,Tesla,Tesla Model S,55A687DGKQ7N6826Y,5399-DM-6
62000631,10000000,Opel,Opel Corsa,54100978HEI883I62,9892-ES-7
62000632,10000001,VW,VW Jetta,2EJ882D8UB53M9MOT,9308-WJ-5
62000633,10000000,Audi,Audi A4,5TL17O1OU6UIXPX0N,7320-EB-5
62000634,10000000,Opel,Opel Corsa,19704361DQAUSD2R6,2974-EQ-7
62000635,10000004,VW,VW Jetta,2MYWF76E7172KWP9A,6743-LJ-7
62000636,10000001,BMW,BMW M4,54030VVTW988CE5M5,2101-DU-5
62000637,10000003,BMW,BMW M3,3ESMO2Y13CRWFY95R,0001-SF-7
62000638,10000001,Audi,Audi A4,XP5N84S7760HK0J2F,4173-QZ-3
62000639,10000004,Audi,Audi A7,EHODTQ5014MZ5Q1ZB,3636-VE-5
62000640,10000003,BMW,BMW M3,RJ6L8399X6SMU52KI,6059-UC-7
62000641,10000002,Audi,Audi A6,GK04Z92709VIQ7MI3,4006-VJ-7
62000642,10000000,BMW,BMW M4,S74416FW6T6Q6A334,8761-KT-6
62000643,10000003,VW,VW Golf 5,8Z3DI1S420B3Y6DKP,4683-DO-2
62000644,10000004,BMW,BMW X6,WMGW5OO2JCROW7048,9096-NO-7
62000645,10000002,Opel,Opel Astra H,PP1843J9O70N23P31,0472-EL-7
62000646,10000001,Audi,Audi A4,Y7RV502J7ER3010EG,1716-TS-7
62000647,10000004,VW,VW Jetta,N662TZ94S5WRGHTT4,6963-HS-7
62000648,10000003,VW,VW Jetta,F2JA2U87JD628UA35,6461-OS-5
62000649,10000000,Audi,Audi A7,UUS5D8EXG68UE1QP2,6634-AN-7
62000650,10000004,VW,VW Golf 5,MD3338R18TP25Q65G,1623-UK-5
62000651,10000004,VW,VW Golf 4,F67X0OUYK6T5A6503,5430-LD-7
62000652,10000002,Tesla,Tesla Model S,8J8QSUL4T66EUA03M,5906-XJ-5
62000653,10000003,BMW,BMW M4,6CNJ6ANQQ84S0S0TP,3001-ZP-6
62000654,10000001,Opel,Opel Astra H,AWI1L297S2B963966,1113-VF-5
62000655,10000003,BMW,BMW M3,U10ND2X5X4IDNNM79,7493-KM-7
